route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0082","36","1","82 | Romillé Langan Chap. Béch. Miniac","","0","1366942","","1",""
"0072","41","11665","72 | Chartres Pont-Péan","","0","1372230","","1",""
"0072","43","11666","72 | Chartres Pont-Péan","","0","1371975","","1",""
"0072","13","11667","72 | Chartres Pont-Péan Laillé","","0","1361907","","1",""
"0072","17","11668","72 | Chartres Pont-Péan Laillé","","0","1361224","","1",""
"0072","21","11669","72 | Chartres Pont-Péan Laillé","","0","1361428","","1",""
"0074","41","1167","74 | Orgères Bourgbarré","","0","1372310","","1",""
"0072","35","11670","72 | Chartres Pont-Péan Laillé","","0","1366732","","1",""
"0072","41","11671","72 | Chartres Pont-Péan Laillé","","0","1372200","","1",""
"0072","43","11672","72 | Chartres Pont-Péan Laillé","","0","1371945","","1",""
"0072","13","11673","72 | Chartres Pont-Péan","","0","1362029","","1",""
"0072","17","11674","72 | Chartres Pont-Péan","","0","1361395","","1",""
"0072","21","11675","72 | Chartres Pont-Péan","","0","1361550","","1",""
"0072","35","11676","72 | Chartres Pont-Péan","","0","1366852","","1",""
"0072","41","11677","72 | Chartres Pont-Péan","","0","1372297","","1",""
"0072","43","11678","72 | Chartres Pont-Péan","","0","1372042","","1",""
"0072","13","11679","72 | Chartres Pont-Péan","","0","1362071","","1",""
"0074","43","1168","74 | Orgères Bourgbarré","","0","1372055","","1",""
"0072","17","11680","72 | Chartres Pont-Péan","","0","1361240","","1",""
"0072","21","11681","72 | Chartres Pont-Péan","","0","1361593","","1",""
"0072","35","11682","72 | Chartres Pont-Péan","","0","1366894","","1",""
"0072","41","11683","72 | Chartres Pont-Péan","","0","1372339","","1",""
"0072","43","11684","72 | Chartres Pont-Péan","","0","1372084","","1",""
"0072","13","11685","72 | Chartres Pont-Péan","","0","1361959","","1",""
"0072","17","11686","72 | Chartres Pont-Péan","","0","1361314","","1",""
"0072","21","11687","72 | Chartres Pont-Péan","","0","1361480","","1",""
"0072","35","11688","72 | Chartres Pont-Péan","","0","1366783","","1",""
"0072","41","11689","72 | Chartres Pont-Péan","","0","1372230","","1",""
"0074","13","1169","74 | Orgères Bourgbarré","","0","1362047","","1",""
"0072","43","11690","72 | Chartres Pont-Péan","","0","1371975","","1",""
"0072","13","11691","72 | Chartres Pont-Péan","","0","1362030","","1",""
"0072","17","11692","72 | Chartres Pont-Péan","","0","1361247","","1",""
"0072","21","11693","72 | Chartres Pont-Péan","","0","1361552","","1",""
"0072","35","11694","72 | Chartres Pont-Péan","","0","1366853","","1",""
"0072","41","11695","72 | Chartres Pont-Péan","","0","1372378","","1",""
"0072","43","11696","72 | Chartres Pont-Péan","","0","1372123","","1",""
"0072","13","11697","72 | Chartres Pont-Péan","","0","1362028","","1",""
"0072","17","11698","72 | Chartres Pont-Péan","","0","1361394","","1",""
"0072","21","11699","72 | Chartres Pont-Péan","","0","1361549","","1",""
"0012","41","117","12 | Grand Quartier","","1","1372295","","1",""
"0074","17","1170","74 | Orgères Bourgbarré","","0","1361344","","1",""
"0072","35","11700","72 | Chartres Pont-Péan","","0","1366851","","1",""
"0072","41","11701","72 | Chartres Pont-Péan","","0","1372296","","1",""
"0072","43","11702","72 | Chartres Pont-Péan","","0","1372041","","1",""
"0072","13","11703","72 | Chartres Pont-Péan","","0","1361907","","1",""
"0072","17","11704","72 | Chartres Pont-Péan","","0","1361224","","1",""
"0072","21","11705","72 | Chartres Pont-Péan","","0","1361428","","1",""
"0072","35","11706","72 | Chartres Pont-Péan","","0","1366732","","1",""
"0072","41","11707","72 | Chartres Pont-Péan","","0","1372200","","1",""
"0072","43","11708","72 | Chartres Pont-Péan","","0","1371945","","1",""
"0072","13","11709","72 | Chartres Pont-Péan","","0","1362029","","1",""
"0074","21","1171","74 | Orgères Bourgbarré","","0","1361569","","1",""
"0072","17","11710","72 | Chartres Pont-Péan","","0","1361395","","1",""
"0072","21","11711","72 | Chartres Pont-Péan","","0","1361550","","1",""
"0072","35","11712","72 | Chartres Pont-Péan","","0","1366852","","1",""
"0072","41","11713","72 | Chartres Pont-Péan","","0","1372297","","1",""
"0072","43","11714","72 | Chartres Pont-Péan","","0","1372042","","1",""
"0072","13","11715","72 | Chartres Pont-Péan","","0","1362071","","1",""
"0072","17","11716","72 | Chartres Pont-Péan","","0","1361240","","1",""
"0072","21","11717","72 | Chartres Pont-Péan","","0","1361593","","1",""
"0072","35","11718","72 | Chartres Pont-Péan","","0","1366894","","1",""
